Format Version,1.21,Take Name,SamTrail2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2016-02-02 02.44.51.312 PM,Total Frames in Take,2616,Total Exported Frames,2616,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,
,,soft actuator:constant 0,soft actuator:constant 0,soft actuator:constant 0,soft actuator:end point,soft actuator:end point,soft actuator:end point,soft actuator:middle point,soft actuator:middle point,soft actuator:middle point,,,,,,,,,
,,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
101,0.841667,-0.032828,0.096999,0.100216,0.072557,0.095823,0.039326,0.011268,0.094955,0.076324,,,,,,,,,
102,0.85,-0.032829,0.096996,0.10021,0.072558,0.095822,0.039321,0.011269,0.094955,0.076316,,,,,,,,,
103,0.858333,-0.032837,0.096991,0.10021,0.072556,0.095818,0.039312,0.011263,0.094948,0.076314,,,,,,,,,
104,0.866667,-0.032841,0.096994,0.100208,0.07255,0.095819,0.039314,0.011261,0.094953,0.07631,,,,,,,,,
105,0.875,-0.032843,0.096991,0.100213,0.072546,0.09582,0.03932,0.011257,0.094952,0.076314,,,,,,,,,
106,0.883333,-0.032843,0.096993,0.100217,0.072542,0.095826,0.039323,0.011255,0.09495,0.076322,,,,,,,,,
107,0.891667,-0.032843,0.096994,0.100224,0.072543,0.095821,0.03933,0.011259,0.094953,0.076328,,,,,,,,,
108,0.9,-0.032849,0.096989,0.100239,0.072545,0.095824,0.039334,0.011258,0.094959,0.076333,,,,,,,,,
109,0.908333,-0.032844,0.096992,0.100233,0.072548,0.095827,0.039338,0.01126,0.094952,0.076339,,,,,,,,,
110,0.916667,-0.032838,0.096993,0.100238,0.072554,0.095821,0.039342,0.011268,0.094953,0.076338,,,,,,,,,
111,0.925,-0.032831,0.096993,0.100236,0.072549,0.095822,0.03933,0.011268,0.094953,0.076331,,,,,,,,,
112,0.933333,-0.032831,0.096995,0.100231,0.072553,0.09582,0.039329,0.011264,0.094957,0.076329,,,,,,,,,
113,0.941667,-0.032833,0.09699,0.100225,0.072549,0.095819,0.039325,0.011265,0.094948,0.076325,,,,,,,,,
114,0.95,-0.032845,0.096986,0.100223,0.072548,0.095819,0.039322,0.011261,0.094951,0.07632,,,,,,,,,
115,0.958333,-0.032843,0.096994,0.100226,0.072545,0.095817,0.039321,0.011257,0.094953,0.076316,,,,,,,,,
116,0.966667,-0.032846,0.096991,0.100228,0.072547,0.095825,0.039329,0.01126,0.094954,0.076324,,,,,,,,,
117,0.975,-0.032846,0.096987,0.100235,0.07254,0.095827,0.03933,0.011255,0.094956,0.076329,,,,,,,,,
118,0.983333,-0.032849,0.096989,0.100248,0.072541,0.095824,0.039339,0.011254,0.094953,0.076337,,,,,,,,,
119,0.991667,-0.032846,0.096988,0.100247,0.072543,0.095828,0.039345,0.011253,0.094951,0.076341,,,,,,,,,
120,1,-0.032846,0.09699,0.100247,0.072546,0.095819,0.039349,0.011255,0.094948,0.076343,,,,,,,,,
121,1.008333,-0.032847,0.096991,0.100255,0.072544,0.095818,0.039347,0.011256,0.094948,0.076343,,,,,,,,,
122,1.016667,-0.032847,0.096995,0.100249,0.07254,0.095823,0.039348,0.011256,0.094956,0.076336,,,,,,,,,
123,1.025,-0.032853,0.096994,0.100247,0.072538,0.095819,0.039342,0.011251,0.094953,0.076334,,,,,,,,,
124,1.033333,-0.032852,0.096992,0.100239,0.07254,0.095825,0.039342,0.011251,0.094957,0.07633,,,,,,,,,
125,1.041667,-0.032851,0.09699,0.100237,0.072538,0.095812,0.039339,0.011251,0.094953,0.076333,,,,,,,,,
126,1.05,-0.032848,0.096995,0.100236,0.072543,0.095821,0.039331,0.011252,0.094954,0.076323,,,,,,,,,
127,1.058333,-0.032848,0.096998,0.100241,0.072541,0.095822,0.039336,0.011254,0.094958,0.07632,,,,,,,,,
128,1.066667,-0.032854,0.096993,0.100242,0.072538,0.095825,0.03934,0.011248,0.094958,0.076326,,,,,,,,,
129,1.075,-0.032853,0.09699,0.100251,0.072537,0.095815,0.039343,0.011248,0.094962,0.076325,,,,,,,,,
130,1.083333,-0.032856,0.096987,0.100257,0.072536,0.095822,0.039348,0.011253,0.094959,0.076335,,,,,,,,,
131,1.091667,-0.032855,0.096984,0.10026,0.072537,0.095823,0.039352,0.011247,0.094957,0.076333,,,,,,,,,
132,1.1,-0.032859,0.096992,0.100262,0.072537,0.095818,0.039354,0.011247,0.094961,0.076335,,,,,,,,,
133,1.108333,-0.032857,0.09699,0.100268,0.072536,0.095824,0.039354,0.011248,0.09496,0.076346,,,,,,,,,
134,1.116667,-0.032851,0.096991,0.100262,0.07254,0.095816,0.039355,0.011249,0.094952,0.076334,,,,,,,,,
135,1.125,-0.03285,0.096994,0.10026,0.072541,0.095817,0.039349,0.011248,0.094958,0.076335,,,,,,,,,
136,1.133333,-0.032855,0.096988,0.100257,0.07254,0.095816,0.039346,0.011247,0.094955,0.076331,,,,,,,,,
137,1.141667,-0.032857,0.096993,0.100251,0.072542,0.095819,0.039343,0.011245,0.094955,0.076327,,,,,,,,,
138,1.15,-0.032856,0.096994,0.10025,0.072537,0.095821,0.039342,0.011247,0.094956,0.076326,,,,,,,,,
139,1.158333,-0.032859,0.096993,0.10025,0.072537,0.095818,0.03934,0.011246,0.094954,0.076329,,,,,,,,,
140,1.166667,-0.032858,0.096995,0.100254,0.072535,0.09582,0.039339,0.011246,0.094954,0.076333,,,,,,,,,
141,1.175,-0.032856,0.096994,0.100261,0.072534,0.095824,0.039352,0.011245,0.094952,0.076342,,,,,,,,,
142,1.183333,-0.032854,0.096993,0.100269,0.072539,0.095823,0.039355,0.011246,0.094956,0.076346,,,,,,,,,
143,1.191667,-0.032852,0.096992,0.100269,0.072539,0.095824,0.039359,0.011249,0.094952,0.076351,,,,,,,,,
144,1.2,-0.032851,0.096993,0.100271,0.072542,0.095824,0.039363,0.011248,0.094956,0.076345,,,,,,,,,
145,1.208333,-0.032858,0.096995,0.100273,0.072536,0.095828,0.03936,0.011245,0.094958,0.076349,,,,,,,,,
146,1.216667,-0.032858,0.096999,0.100272,0.072533,0.095825,0.039353,0.01124,0.094956,0.076343,,,,,,,,,
147,1.225,-0.032863,0.096993,0.10027,0.072535,0.095834,0.039348,0.011241,0.094954,0.076343,,,,,,,,,
148,1.233333,-0.032864,0.096992,0.100263,0.07253,0.09583,0.03935,0.01124,0.094958,0.076336,,,,,,,,,
149,1.241667,-0.032861,0.096988,0.100262,0.072531,0.095831,0.039348,0.011239,0.094956,0.076336,,,,,,,,,
150,1.25,-0.032861,0.096991,0.100261,0.072531,0.095825,0.039348,0.01124,0.094962,0.076335,,,,,,,,,
151,1.258333,-0.03286,0.096992,0.100264,0.072531,0.095829,0.039346,0.011243,0.094955,0.076332,,,,,,,,,
152,1.266667,-0.03286,0.096993,0.100268,0.072534,0.095826,0.039351,0.011244,0.094958,0.076341,,,,,,,,,
153,1.275,-0.032855,0.09699,0.100268,0.072535,0.095824,0.039352,0.011246,0.094953,0.076344,,,,,,,,,
154,1.283333,-0.032849,0.096992,0.100267,0.072534,0.095825,0.039357,0.011249,0.094952,0.076346,,,,,,,,,
155,1.291667,-0.032854,0.096994,0.100266,0.072539,0.095829,0.039354,0.01125,0.094953,0.076349,,,,,,,,,
156,1.3,-0.032851,0.09699,0.100265,0.072541,0.095831,0.039357,0.011251,0.094958,0.076345,,,,,,,,,
157,1.308333,-0.032847,0.09699,0.100262,0.072539,0.09582,0.039346,0.011252,0.094952,0.076338,,,,,,,,,
158,1.316667,-0.032853,0.096985,0.100259,0.07254,0.095821,0.039345,0.011252,0.094948,0.07634,,,,,,,,,
159,1.325,-0.032852,0.096991,0.100249,0.07254,0.095825,0.039345,0.011251,0.094951,0.076332,,,,,,,,,
160,1.333333,-0.032851,0.096991,0.100252,0.072544,0.095826,0.039342,0.011252,0.094955,0.076333,,,,,,,,,
161,1.341667,-0.032851,0.096991,0.100247,0.072543,0.095823,0.039336,0.011246,0.094951,0.076327,,,,,,,,,
162,1.35,-0.032852,0.096987,0.10025,0.072539,0.095823,0.039339,0.011249,0.094946,0.076332,,,,,,,,,
163,1.358333,-0.032848,0.096986,0.100251,0.07254,0.095819,0.03934,0.01125,0.094953,0.07633,,,,,,,,,
164,1.366667,-0.032849,0.096989,0.100253,0.072541,0.095822,0.039344,0.011248,0.094952,0.076338,,,,,,,,,
165,1.375,-0.032849,0.096994,0.100258,0.072541,0.095826,0.039346,0.01125,0.094957,0.076339,,,,,,,,,
166,1.383333,-0.032846,0.096991,0.100255,0.072545,0.095825,0.039345,0.011254,0.094956,0.076341,,,,,,,,,
167,1.391667,-0.032841,0.096983,0.100254,0.072547,0.09582,0.039346,0.011256,0.094947,0.076337,,,,,,,,,
168,1.4,-0.032838,0.096985,0.100255,0.072547,0.095821,0.039341,0.011261,0.094947,0.076338,,,,,,,,,
169,1.408333,-0.032842,0.096989,0.100243,0.072546,0.095827,0.039337,0.011257,0.094955,0.076328,,,,,,,,,
170,1.416667,-0.032846,0.096989,0.100242,0.072542,0.095823,0.039331,0.011254,0.094952,0.076329,,,,,,,,,
171,1.425,-0.032847,0.096984,0.100242,0.072543,0.095817,0.039333,0.011258,0.094952,0.076321,,,,,,,,,
172,1.433333,-0.032851,0.096984,0.100239,0.072544,0.095827,0.039334,0.011254,0.094946,0.07632,,,,,,,,,
173,1.441667,-0.032851,0.096977,0.100248,0.07254,0.095816,0.039333,0.011253,0.09495,0.07633,,,,,,,,,
